Date,Receipt number,Receipt type,Gross sales,Discounts,Net sales,Taxes,Total collected,Cost of goods,Gross profit,Payment type,Description,Dining option,POS,Store,Cashier name,Customer name,Customer contacts,Status
8/29/20 6:17 PM,5-2871,Sale,207.50,0.00,207.50,0.00,207.50,0.00,207.50,Card,"1 x Tom Yam Fried Rice (Beef), 1 x Party Sandwich, 1 x Spring Rolls, 1 x Cappuccino (Iced), 1 x Teh Tarik (Iced), 2 x Mac & Cheese (Chicken), 1 x Smores Toast, 1 x Aglio Olio (Seafood), 1 x Kinder Bueno Affle, 1 x Fried Kuay Teow (Beef), 1 x Carbonara (Chicken), 1 x Tom Yam Fried Rice (Chicken), 3 x Butterscotch Latte (Iced), 1 x A&W Root Beer, 1 x Mineral Water (Iced)",Table 8,POS 2020,Glaze Eatery,Owner,,,Closed
8/29/20 6:12 PM,5-2870,Sale,32.00,0.00,32.00,0.00,32.00,0.00,32.00,Cash,"1 x Crusted Chicken Chop Chop (Fries), 1 x Carbonara (Beef), 1 x Mineral Water (Iced)",Table 9,POS 2020,Glaze Eatery,Owner,,,Closed
8/29/20 6:10 PM,5-2869,Sale,66.00,0.00,66.00,0.00,66.00,0.00,66.00,Cash,"1 x Salted Egg Chicken, 1 x Crusted Chicken Chop Chop (Fries), 1 x Mineral Water (Iced), 1 x Tomyam Bihun (Beef), 1 x Tea (Iced), 1 x Salted Caramel Latte (Iced), 1 x Chicken Nugget",Table 3,POS 2020,Glaze Eatery,Owner,,,Closed
8/29/20 6:08 PM,5-2868,Sale,39.00,0.00,39.00,0.00,39.00,0.00,39.00,Card,"1 x Creamy Curry (Chicken), 1 x Tom Yam Fried Rice (Chicken), 1 x Butterscotch Latte (Iced), 1 x A&W Root Beer",Table 10,POS 2020,Glaze Eatery,Owner,,,Closed
8/29/20 6:06 PM,5-2867,Sale,37.00,0.00,37.00,0.00,37.00,0.00,37.00,Cash,"1 x Carbonara (Beef), 1 x Crusted Chicken Chop Chop (Fries), 2 x Teh Tarik (Iced)",Table 1,POS 2020,Glaze Eatery,Owner,,,Closed
8/29/20 6:05 PM,5-2866,Sale,31.00,0.00,31.00,0.00,31.00,0.00,31.00,Card,"1 x Arabiatta (Chicken), 1 x A&W Root Beer, 1 x Chocolate Nutella",Table 17,POS 2020,Glaze Eatery,Owner,,,Closed
8/29/20 6:05 PM,5-2865,Sale,30.00,0.00,30.00,0.00,30.00,0.00,30.00,Card,"1 x Fried Kuay Teow (Seafood), 1 x Lemon Tea (Iced), 1 x Married Salted Caramel",Table 17,POS 2020,Glaze Eatery,Owner,,,Closed
8/29/20 6:03 PM,5-2864,Sale,43.00,0.00,43.00,0.00,43.00,0.00,43.00,Cash,"1 x Salted Egg Chicken, 1 x Crusted Chicken Chop Chop (Fries), 1 x Lemon Tea (Iced), 1 x Earl Grey",Table 17,POS 2020,Glaze Eatery,Owner,,,Closed
8/29/20 6:01 PM,5-2863,Sale,3.00,0.00,3.00,0.00,3.00,0.00,3.00,Cash,1 x Mineral Water (Iced),Table 2,POS 2020,Glaze Eatery,Owner,,,Closed
8/29/20 6:00 PM,5-2862,Sale,35.00,0.00,35.00,0.00,35.00,0.00,35.00,Card,"2 x Butter Chicken, 1 x Lemon Tea (Iced), 1 x Mineral Water (Iced)",Table 11,POS 2020,Glaze Eatery,Owner,,,Closed
8/29/20 5:56 PM,5-2861,Sale,76.00,0.00,76.00,0.00,76.00,0.00,76.00,Card,"1 x Chamomile, 1 x Peach Tea (Iced), 1 x Teh Tarik (Iced), 1 x Tea (Iced), 1 x Masak Lemak Cili Api (Beef), 1 x Creamy Curry (Beef), 1 x Bulgogi Beef Fries, 1 x Carbonara (Chicken)",Out 2,POS 2020,Glaze Eatery,Owner,,,Closed
8/29/20 5:48 PM,5-2860,Sale,82.00,0.00,82.00,0.00,82.00,0.00,82.00,Card,"1 x Mocha (Iced), 1 x Latte (Iced), 1 x Lemon Tea (Iced), 2 x Mineral Water (Iced), 1 x Aglio Olio (Seafood), 1 x Masak Lemak Cili Api (Beef), 1 x Crusted Chicken Chop Chop (Fries)",Table 6,POS 2020,Glaze Eatery,Owner,,,Closed
8/29/20 5:46 PM,5-2859,Sale,51.00,10.20,40.80,0.00,40.80,0.00,40.80,Cash,"1 x Tom Yam Fried Rice (Seafood), 1 x Creamy Curry (Chicken), 1 x Vanilla Latte (Iced), 1 x Salted Caramel Latte (Iced)",Dine in,POS 2020,Glaze Eatery,Owner,,,Closed
8/29/20 5:44 PM,5-2858,Sale,51.00,0.00,51.00,0.00,51.00,0.00,51.00,Cash,"1 x Creamy Curry (Chicken), 1 x Latte (Iced), 1 x Creme Brulee Latte (Iced), 1 x Chocolate Nutella",Table 2,POS 2020,Glaze Eatery,Owner,,,Closed
